review_id,industry_type,review_category,review_text,sentiment_label,source,contributor
1,IT系スタートアップ,残業,裁量労働制が導入されており、自分でスケジュールを組める分、残業はほぼ発生しない。,positive,synthetic,teacher
2,IT系スタートアップ,残業,プロダクトの締め切り前でも過度な深夜残業はなく、チームで早めに調整し合う文化が根付いている。,positive,synthetic,teacher
3,IT系スタートアップ,残業,入社前は残業が多いと覚悟していたが、タスク管理がしっかりしているおかげで定時退社できる日がほとんどだ。,positive,synthetic,teacher
4,IT系スタートアップ,残業,残業ゼロとは言えないが、月10時間程度に収まっており、プライベートの時間もきちんと確保できている。,positive,synthetic,teacher
5,IT系スタートアップ,残業,エンジニアの生産性を大切にする社風で、長時間労働を美徳とする雰囲気が一切ない。,positive,synthetic,teacher
6,IT系スタートアップ,残業,忙しい時期でも翌日以降で調整できるフレックス制のおかげで、残業のストレスをほとんど感じない。,positive,synthetic,teacher
7,IT系スタートアップ,残業,スタートアップ特有のスピード感はあるが、残業が続く場合は上長がすぐに声をかけてくれるので安心できる。,positive,synthetic,teacher
8,IT系スタートアップ,残業,リリース直前は多少残業することもあるが、それ以外は業務量が適切にコントロールされていて無理がない。,positive,synthetic,teacher
9,IT系スタートアップ,残業,裁量労働制が導入されており、自分でタスクを管理できるので、無駄な残業がほとんど発生しない点は非常に助かっています。,positive,synthetic,teacher
10,IT系スタートアップ,残業,プロダクト優先の文化が根付いているおかげか、会議が少なく集中して作業できるため、定時に仕事を終えられる日が多いです。,positive,synthetic,teacher
11,IT系スタートアップ,残業,残業が当たり前の文化で、定時に帰ると白い目で見られる雰囲気がある。,negative,synthetic,teacher
12,IT系スタートアップ,残業,スタートアップだからと言い訳されるが、月の残業が80時間を超えることも珍しくない。,negative,synthetic,teacher
13,IT系スタートアップ,残業,深夜にチャットで業務連絡が来るのが普通で、精神的に休まる時間がない。,negative,synthetic,teacher
14,IT系スタートアップ,残業,リリース前後は特にひどく、終電を逃すことが続いて体力的に限界を感じた。,negative,synthetic,teacher
15,IT系スタートアップ,残業,サービス残業が暗黙の了解になっていて、残業代を申請しにくい雰囲気がある。,negative,synthetic,teacher
16,IT系スタートアップ,残業,少人数ゆえに一人あたりの業務量が多く、毎日2〜3時間の残業は覚悟しておくべきだ。,negative,synthetic,teacher
17,IT系スタートアップ,残業,納期が近づくと休日出勤も求められるため、プライベートの予定がまったく立てられない。,negative,synthetic,teacher
18,IT系スタートアップ,残業,入社前は裁量労働制と説明されたが、実態は長時間労働の隠れ蓑になっている。,negative,synthetic,teacher
19,IT系スタートアップ,残業,スタートアップらしく「みんなでやり切ろう」という空気が強く、定時に上がりにくい雰囲気が常態化していた。,negative,synthetic,teacher
20,IT系スタートアップ,残業,リリース前後は当たり前のように深夜まで作業が続き、残業代も出ないまま気合いで乗り切ることを求められる。,negative,synthetic,teacher
